Name,ISO3,Year,GDP,Value
Sudan,SDN,2020,27034593750.0,32.2828428721117
Senegal,SEN,2020,24493157583.2282,40.9013872392724
Singapore,SGP,2020,345295933898.674,70.5810657971052
Solomon Islands,SLB,2020,1536148245.54995,42.152250933287
Sierra Leone,SLE,2020,4063289449.58795,37.6526518671623
El Salvador,SLV,2020,24563020000.0,45.1329293811576
Somalia,SOM,2020,6883000000.0,34.1505500505096
Serbia,SRB,2020,53356480453.8048,50.635391654779
Sao Tome and Principe,STP,2020,472551022.513384,41.6732173560154
Suriname,SUR,2020,2911807496.20227,46.2812198675038
Slovenia,SVN,2020,53706800043.6842,64.1094790741995
Sweden,SWE,2020,547054174235.876,71.3361973462645
Seychelles,SYC,2020,1261198524.11092,49.4569911528918
Syrian Arab Republic,SYR,2020,11079795397.2805,38.0665108334812
Chad,TCD,2020,10715396135.4168,26.6869805824106
Togo,TGO,2020,7574636978.66175,41.382221905777
Thailand,THA,2020,499681757030.968,52.429480571899
Tajikistan,TJK,2020,8133996647.90397,46.1278723105417
Timor-Leste,TLS,2020,2158392539.93697,43.5143337539533
Tonga,TON,2020,484806718.323882,41.5823467932925
Trinidad and Tobago,TTO,2020,21059428851.4883,48.2333666306789
Tunisia,TUN,2020,42537832456.2651,52.4814574380407
Uganda,UGA,2020,37600368180.9399,35.3887626991371
Ukraine,UKR,2020,156617861448.576,52.1940807240993
Uruguay,URY,2020,53560755046.6162,55.7431678729522
United States,USA,2020,21060473613000.0,66.2121434319801
Uzbekistan,UZB,2020,59894305352.8955,49.4463187571274
Vanuatu,VUT,2020,896879875.195008,40.5130133272706
Samoa,WSM,2020,868904477.722589,47.0685012101511
South Africa,ZAF,2020,337619680138.494,47.4391620475584
Zambia,ZMB,2020,18110631358.3114,40.0069021415409
Zimbabwe,ZWE,2020,21509698406.1116,33.0841593169428
