item,price,date
apple cider,3.268346,2013-02-01
apple cider,3.270345,2013-03-01
apples,1.962018,2013-03-01
apples,1.969234,2013-04-01
apple cider,3.302916,2013-04-01
apples,2.005872,2013-05-01
apple cider,3.303093,2013-05-01
apple cider,3.308388,2013-06-01
apples,1.992385,2013-06-01
apples,2.021954,2013-07-01
apple cider,3.319867,2013-07-01
apples,2.083333,2013-08-01
apple cider,3.315123,2013-08-01
apple cider,3.310038,2013-09-01
apples,2.147243,2013-09-01
apples,2.070815,2013-10-01
apple cider,3.311353,2013-10-01
apple cider,3.312046,2013-11-01
apples,1.961483,2013-11-01
apples,1.954615,2013-12-01
apple cider,3.318729,2013-12-01
apple cider,3.335048,2014-01-01
apples,1.976545,2014-01-01
apples,1.978233,2014-02-01
apple cider,3.310346,2014-02-01
apples,1.954178,2014-03-01
apple cider,3.315804,2014-03-01
apples,1.958273,2014-04-01
apple cider,3.327139,2014-04-01
apples,1.97347,2014-05-01
apple cider,3.33263,2014-05-01
apple cider,3.346749,2014-06-01
apples,1.968498,2014-06-01
apples,1.990783,2014-07-01
apple cider,3.338267,2014-07-01
apples,1.954762,2014-08-01
apple cider,3.348015,2014-08-01
apples,1.966479,2014-09-01
apple cider,3.352765,2014-09-01
apples,1.927639,2014-10-01
apple cider,3.374902,2014-10-01
apples,1.926712,2014-11-01
apple cider,3.370567,2014-11-01
apples,1.898839,2014-12-01
apple cider,3.3775,2014-12-01
apples,1.941875,2015-01-01
apple cider,3.37919,2015-01-01
apples,1.931396,2015-02-01
apple cider,3.406588,2015-02-01
apples,1.926062,2015-03-01
apple cider,3.407201,2015-03-01
apple cider,3.387284,2015-04-01
apples,1.925434,2015-04-01
apple cider,3.390403,2015-05-01
apples,1.947713,2015-05-01
apples,1.937051,2015-06-01
apple cider,3.385362,2015-06-01
apple cider,3.38268,2015-07-01
apples,1.972018,2015-07-01
apple cider,3.376084,2015-08-01
apples,1.994579,2015-08-01
apple cider,3.366808,2015-09-01
apples,2.003707,2015-09-01
apple cider,3.368089,2015-10-01
apples,1.937549,2015-10-01
apple cider,3.381453,2015-11-01
apples,1.904286,2015-11-01
apples,1.922095,2015-12-01
apple cider,3.388564,2015-12-01
apple cider,3.378618,2016-01-01
apples,1.894387,2016-01-01
apple cider,3.390203,2016-02-01
apples,1.899455,2016-02-01
apple cider,3.399751,2016-03-01
apples,1.871765,2016-03-01
apple cider,3.406069,2016-04-01
apples,1.85067,2016-04-01
apples,1.900369,2016-05-01
apple cider,3.417797,2016-05-01
apple cider,3.428099,2016-06-01
apples,1.922029,2016-06-01
apple cider,3.438635,2016-07-01
apples,1.944975,2016-07-01
apples,2.006477,2016-08-01
apple cider,3.433276,2016-08-01
apples,1.974726,2016-09-01
apple cider,3.445479,2016-09-01
apples,1.958614,2016-10-01
apple cider,3.441741,2016-10-01
apples,1.929512,2016-11-01
apple cider,3.455928,2016-11-01
apple cider,3.456964,2016-12-01
apples,1.93014,2016-12-01
apple cider,3.451531,2017-01-01
apples,1.862589,2017-01-01
apples,1.894901,2017-02-01
apple cider,3.248194,2017-02-01
apples,1.903839,2017-03-01
apple cider,3.552123,2017-03-01
apples,1.903869,2017-04-01
apple cider,3.58187,2017-04-01
apple cider,3.600052,2017-05-01
apples,1.897835,2017-05-01
